Mine.Name,Product.Type,Product.Subtype,Coal.Brand,Quality.Metric,Value,Unit
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,AFT IDT Ox,5000,??C
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,Ash,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,Cl2,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,CSN,5000,Number
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,CSR,5000,Number
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,FC,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,HGI,5000,Number
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,IM,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,Max Fluid,5000,ddpm
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,N,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,P,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,Ro Max,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,SE gad,5000,kcal/kg
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,SE gar,5000,kcal/kg
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,SE nar,5000,kcal/kg
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,TM,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,TS,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,Vitrinite,5000,%
Aduun Chuluun,Thermal,Lignite,Aduun Chuluun Thermal,VM,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,AFT IDT Ox,5000,??C
Anhui Generic,Thermal,Bituminous,Anhui 5500,Ash,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,Cl2,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,CSN,5000,Number
Anhui Generic,Thermal,Bituminous,Anhui 5500,CSR,5000,Number
Anhui Generic,Thermal,Bituminous,Anhui 5500,FC,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,HGI,5000,Number
Anhui Generic,Thermal,Bituminous,Anhui 5500,IM,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,Max Fluid,5000,ddpm
Anhui Generic,Thermal,Bituminous,Anhui 5500,N,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,P,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,Ro Max,5000,%
Anhui Generic,Thermal,Bituminous,Anhui 5500,SE gad,5000,kcal/kg
