"node_name","node_id"
"mine Anhui Generic","mine_idno_1"
"mine Anhui KSOE","mine_idno_2"
"mine Anhui KSOE_Hengyuan Coal","mine_idno_3"
"mine Anhui KSOE_Huaibei Mining","mine_idno_4"
"mine Anhui KSOE_Xinji Energy","mine_idno_5"
"mine Anhui Other Mines","mine_idno_6"
"mine Beijing KSOE","mine_idno_7"
"mine Beijing KSOE Export","mine_idno_8"
"mine Beijing KSOE_Haohua Energy","mine_idno_9"
"mine Chongqing KSOE","mine_idno_10"
"mine Chongqing Other Mines","mine_idno_11"
"mine Fujian Other Mines","mine_idno_12"
"mine Gansu Generic","mine_idno_13"
"mine Gansu KSOE","mine_idno_14"
"mine Gansu KSOE_Jingyuan Coal","mine_idno_15"
"mine Gansu Other Mines","mine_idno_16"
"mine Guangxi KSOE","mine_idno_17"
"mine Guangxi Other Mines","mine_idno_18"
"mine Guizhou Generic","mine_idno_19"
"mine Guizhou KSOE","mine_idno_20"
"mine Guizhou KSOE_Panjiang Refined Coal","mine_idno_21"
"mine Guizhou Other Mines","mine_idno_22"
"mine Guizhou Other Mines_Feishang","mine_idno_23"
"mine Guizhou Other Mines_Hidili","mine_idno_24"
"mine Guizhou Other Mines_Perennial Energy","mine_idno_25"
"mine Guizhou Other Mines_Southern Energy","mine_idno_26"
"mine Hebei KSOE","mine_idno_27"
"mine Hebei KSOE Export","mine_idno_28"
"mine Hebei KSOE_Jizhong Energy","mine_idno_29"
"mine Hebei KSOE_Kailuan Energy","mine_idno_30"
"mine Hebei Other Mines","mine_idno_31"
"mine Heilongjiang KSOE","mine_idno_32"
"mine Heilongjiang Other Mines","mine_idno_33"
"mine Henan KSOE","mine_idno_34"
"mine Henan KSOE_Dayou Energy","mine_idno_35"
"mine Henan KSOE_Pingdingshan Coal","mine_idno_36"
"mine Henan KSOE_Shenhuo Coal","mine_idno_37"
"mine Henan KSOE_Zhengzhou Coal","mine_idno_38"
"mine Henan Other Mines","mine_idno_39"
"mine Hubei Other Mines","mine_idno_40"
"mine Hunan KSOE","mine_idno_41"
"mine Hunan KSOE_Blackgold Times","mine_idno_42"
"mine Hunan Other Mines","mine_idno_43"
"mine Inner Mongolia (East) Generic Surface","mine_idno_44"
"mine Inner Mongolia (East) KSOE Surface","mine_idno_45"
"mine Inner Mongolia (East) KSOE Surface_Huolinhe Opencut","mine_idno_46"
"mine Inner Mongolia (East) KSOE Surface_Pingzhuang","mine_idno_47"
"mine Inner Mongolia (East) KSOE Surface_Shenhua","mine_idno_48"
"mine Inner Mongolia (East) KSOE_Hongyang Energy","mine_idno_49"
"mine Inner Mongolia (East) Other Mines Surface","mine_idno_50"
"mine Inner Mongolia (East) Other Mines_Sundiro","mine_idno_51"
"mine Jiangsu KSOE","mine_idno_52"
"mine Jiangsu KSOE_China Coal","mine_idno_53"
"mine Jiangsu Other Mines","mine_idno_54"
"mine Jiangxi KSOE","mine_idno_55"
"mine Jiangxi KSOE_Anyuan Coal","mine_idno_56"
"mine Jiangxi Other Mines","mine_idno_57"
"mine Jilin KSOE","mine_idno_58"
"mine Jilin Other Mines","mine_idno_59"
"mine Liaoning KSOE","mine_idno_60"
"mine Liaoning KSOE_Hongyang Energy","mine_idno_61"
"mine Liaoning Other Mines","mine_idno_62"
"mine Ningxia Generic","mine_idno_63"
"mine Ningxia KSOE","mine_idno_64"
"mine Ningxia KSOE Surface ","mine_idno_65"
"mine Ningxia Other Mines","mine_idno_66"
"mine Ningxia Other Mines Surface","mine_idno_67"
"mine Ordos Generic","mine_idno_68"
"mine Ordos Generic Surface ","mine_idno_69"
"mine Ordos KSOE","mine_idno_70"
"mine Ordos KSOE Export","mine_idno_71"
"mine Ordos KSOE Surface ","mine_idno_72"
"mine Ordos KSOE Surface_Jizhong Energy","mine_idno_73"
"mine Ordos KSOE Surface_MengDian HuaNeng","mine_idno_74"
"mine Ordos KSOE Surface_Shenhua","mine_idno_75"
"mine Ordos KSOE_China Coal","mine_idno_76"
"mine Ordos KSOE_Datong Coal","mine_idno_77"
"mine Ordos KSOE_Haohua Energy","mine_idno_78"
"mine Ordos KSOE_Jizhong Energy","mine_idno_79"
"mine Ordos KSOE_Shenhua","mine_idno_80"
"mine Ordos KSOE_Yanzhou Coal","mine_idno_81"
"mine Ordos Other Mines","mine_idno_82"
"mine Ordos Other Mines_Eerduosi Resources","mine_idno_83"
"mine Ordos Other Mines_ENN-EC","mine_idno_84"
"mine Ordos Other Mines_Kinetic","mine_idno_85"
"mine Ordos Other Mines_Yitai","mine_idno_86"
"mine Qinghai KSOE Surface_Dayou Energy","mine_idno_87"
"mine Qinghai KSOE_Dayou Energy","mine_idno_88"
"mine Qinghai Other Mines","mine_idno_89"
"mine Qinghai Other Mines Surface","mine_idno_90"
"mine Shaanxi Generic","mine_idno_91"
"mine Shaanxi KSOE","mine_idno_92"
"mine Shaanxi KSOE Export","mine_idno_93"
"mine Shaanxi KSOE_China Coal","mine_idno_94"
"mine Shaanxi KSOE_Shaanxi Coal Industry","mine_idno_95"
"mine Shaanxi KSOE_Shenhua","mine_idno_96"
"mine Shaanxi Other Mines","mine_idno_97"
"mine Shandong Generic","mine_idno_98"
"mine Shandong KSOE","mine_idno_99"
"mine Shandong KSOE Export","mine_idno_100"
"mine Shandong KSOE_Yanzhou Coal","mine_idno_101"
"mine Shandong Other Mines","mine_idno_102"
"mine Shanxi (East) Generic","mine_idno_103"
"mine Shanxi (East) KSOE","mine_idno_104"
"mine Shanxi (East) KSOE Export","mine_idno_105"
"mine Shanxi (East) KSOE_Kailuan Energy","mine_idno_106"
"mine Shanxi (East) KSOE_Lanhua Scitech","mine_idno_107"
"mine Shanxi (East) KSOE_SCIE","mine_idno_108"
"mine Shanxi (East) KSOE_Shanxi Luan","mine_idno_109"
"mine Shanxi (East) KSOE_Tiandi","mine_idno_110"
"mine Shanxi (East) KSOE_Yangquan Coal","mine_idno_111"
"mine Shanxi (East) Other Mines","mine_idno_112"
"mine Shanxi (East) Other Mines_Meijin Energy","mine_idno_113"
"mine Shanxi (East) Other Mines_Wintime Energy","mine_idno_114"
"mine Shanxi (North) Generic","mine_idno_115"
"mine Shanxi (North) KSOE","mine_idno_116"
"mine Shanxi (North) KSOE Export","mine_idno_117"
"mine Shanxi (North) KSOE Surface ","mine_idno_118"
"mine Shanxi (North) KSOE Surface_China Coal","mine_idno_119"
"mine Shanxi (North) KSOE Surface_SCIE","mine_idno_120"
"mine Shanxi (North) KSOE_China Coal","mine_idno_121"
"mine Shanxi (North) KSOE_Datong Coal","mine_idno_122"
"mine Shanxi (North) KSOE_Lanhua Scitech","mine_idno_123"
"mine Shanxi (North) KSOE_SCIE","mine_idno_124"
"mine Shanxi (North) KSOE_Shenhua","mine_idno_125"
"mine Shanxi (North) Other Mines","mine_idno_126"
"mine Shanxi (North) Other Mines Surface","mine_idno_127"
"mine Shanxi (North) Other Mines_Qinfa","mine_idno_128"
"mine Shanxi (West) Generic","mine_idno_129"
"mine Shanxi (West) KSOE","mine_idno_130"
"mine Shanxi (West) KSOE Export","mine_idno_131"
"mine Shanxi (West) KSOE_China Coal","mine_idno_132"
"mine Shanxi (West) KSOE_Jizhong Energy","mine_idno_133"
"mine Shanxi (West) KSOE_Lanhua Scitech","mine_idno_134"
"mine Shanxi (West) KSOE_SCIE","mine_idno_135"
"mine Shanxi (West) KSOE_Xishan Coal","mine_idno_136"
"mine Shanxi (West) KSOE_Yanzhou Coal","mine_idno_137"
"mine Shanxi (West) Other Mines","mine_idno_138"
"mine Shanxi (West) Other Mines_Meijin Energy","mine_idno_139"
"mine Shanxi (West) Other Mines_Shougang Fushan","mine_idno_140"
"mine Shanxi (West) Other Mines_Wintime Energy","mine_idno_141"
"mine Sichuan KSOE","mine_idno_142"
"mine Sichuan Other Mines","mine_idno_143"
"mine Sichuan Other Mines_Hidili","mine_idno_144"
"mine Wuhai KSOE","mine_idno_145"
"mine Wuhai KSOE_Shenhua","mine_idno_146"
"mine Wuhai Other Mines","mine_idno_147"
"mine Xinjiang Generic","mine_idno_148"
"mine Xinjiang Generic Surface","mine_idno_149"
"mine Xinjiang KSOE","mine_idno_150"
"mine Xinjiang KSOE Surface","mine_idno_151"
"mine Xinjiang KSOE Surface_Kailuan Energy","mine_idno_152"
"mine Xinjiang KSOE_China Coal","mine_idno_153"
"mine Xinjiang Other Mines","mine_idno_154"
"mine Xinjiang Other Mines Surface_Guanghui Energy","mine_idno_155"
"mine Yunnan KSOE","mine_idno_156"
"mine Yunnan Other Mines","mine_idno_157"
"mine Yunnan Other Mines_Hidili","mine_idno_158"
"basi Anhui","basi_idno_159"
"basi Beijing","basi_idno_160"
"basi Chongqing","basi_idno_161"
"basi Fujian","basi_idno_162"
"basi Gansu","basi_idno_163"
"basi Guangxi","basi_idno_164"
"basi Guizhou","basi_idno_165"
"basi Hebei","basi_idno_166"
"basi Heilongjiang","basi_idno_167"
"basi Henan","basi_idno_168"
"basi Hubei","basi_idno_169"
"basi Hunan","basi_idno_170"
"basi Inner Mongolia (East)","basi_idno_171"
"basi Jiangsu","basi_idno_172"
"basi Jiangxi","basi_idno_173"
"basi Jilin","basi_idno_174"
"basi Liaoning","basi_idno_175"
"basi Ningxia","basi_idno_176"
"basi Ordos","basi_idno_177"
"basi Qinghai","basi_idno_178"
"basi Shaanxi","basi_idno_179"
"basi Shandong","basi_idno_180"
"basi Shanxi (East)","basi_idno_181"
"basi Shanxi (North)","basi_idno_182"
"basi Shanxi (West)","basi_idno_183"
"basi Sichuan","basi_idno_184"
"basi Wuhai","basi_idno_185"
"basi Xinjiang","basi_idno_186"
"basi Yunnan","basi_idno_187"
"rwst A'erxiang 阿尔乡","rwst_idno_188"
"rwst Abagaqi 阿巴嘎旗","rwst_idno_189"
"rwst Acheng 阿城","rwst_idno_190"
"rwst Adariga 阿达日嘎","rwst_idno_191"
"rwst Aduhuduge 阿都呼都格","rwst_idno_192"
"rwst Aguitu 阿贵图","rwst_idno_193"
"rwst Ahuzhen 阿湖镇","rwst_idno_194"
"rwst Aibihu 艾比湖","rwst_idno_195"
"rwst Aibugai 艾不盖","rwst_idno_196"
"rwst Aihe - HB 艾河","rwst_idno_197"
"rwst Aihe - HLJ 爱河","rwst_idno_198"
"rwst Aijiacun 艾家村","rwst_idno_199"
"rwst Ailing 矮岭","rwst_idno_200"
"rwst Aksu 阿克苏","rwst_idno_201"
"rwst Akto 阿克陶","rwst_idno_202"
"rwst Alade 阿拉德","rwst_idno_203"
"rwst Anbei 安北","rwst_idno_204"
"rwst Anbianzhen 安边镇","rwst_idno_205"
"rwst Anda 安达","rwst_idno_206"
"rwst Anding 安定","rwst_idno_207"
"rwst Anfuzhen 安富镇","rwst_idno_208"
"rwst Ang'angxi 昂昂溪","rwst_idno_209"
"rwst Angcun 亢村","rwst_idno_210"
"rwst Angsu 昂素","rwst_idno_211"
"rwst Anguo 安国","rwst_idno_212"
"rwst Anguozhen 安国镇","rwst_idno_213"
"rwst Anhua 安化","rwst_idno_214"
"rwst Anjialou 安家楼","rwst_idno_215"
"rwst Anjiazhuang 安家庄","rwst_idno_216"
"rwst Ankang East 安康东","rwst_idno_217"
"rwst Ankang 安康","rwst_idno_218"
"rwst Ankou 安口","rwst_idno_219"
"rwst Ankouyao 安口窑","rwst_idno_220"
"rwst Anlong 安龙","rwst_idno_221"
"rwst Anpeng 安棚","rwst_idno_222"
"rwst Anshan - JX 安山","rwst_idno_223"
"rwst Anshan - LN 鞍山","rwst_idno_224"
"rwst Anshun 安顺","rwst_idno_225"
"rwst Antang 安塘","rwst_idno_226"
"rwst Anting 安亭","rwst_idno_227"
"rwst Antu 安图","rwst_idno_228"
"rwst Anxi 安溪","rwst_idno_229"
"rwst Anyang 安阳","rwst_idno_230"
"rwst Anyi NMG 安邑","rwst_idno_231"
"rwst Anyi SX 安邑","rwst_idno_232"
"rwst Anze 安泽","rwst_idno_233"
"rwst Anzigou 安子沟","rwst_idno_234"
"rwst Anzishan 鞍子山","rwst_idno_235"
"rwst Aobao 敖包","rwst_idno_236"
"rwst Aobaogou 敖包沟","rwst_idno_237"
"rwst Aolibugao 敖力布告","rwst_idno_238"
"rwst Aoshang 坳上","rwst_idno_239"
"rwst Aotou 敖头","rwst_idno_240"
"rwst Aqia'er 阿恰尔","rwst_idno_241"
"rwst Aridesai 阿日德塞","rwst_idno_242"
"rwst Artux 阿图什","rwst_idno_243"
"rwst Aruchaidamu 阿如柴达木","rwst_idno_244"
"rwst Arxan North 阿尔山北","rwst_idno_245"
"rwst Arxan 阿尔山","rwst_idno_246"
"rwst Bachu 巴楚","rwst_idno_247"
"rwst Bacun 八村","rwst_idno_248"
"rwst Badagou 八达沟","rwst_idno_249"
"rwst Badou 八斗","rwst_idno_250"
"rwst Badu - GZ 八渡","rwst_idno_251"
"rwst Badu - JX 八都","rwst_idno_252"
"rwst Baganuur","rwst_idno_253"
"rwst Bage 巴哥","rwst_idno_254"
"rwst Baguanling 巴关岭","rwst_idno_255"
"rwst Bahuli 八虎力","rwst_idno_256"
"rwst Baicheng North 白城北","rwst_idno_257"
"rwst Baicheng 白城","rwst_idno_258"
"rwst Baidishi 白地市","rwst_idno_259"
"rwst Baidunzi 白墩子","rwst_idno_260"
"rwst Baiganhu 白干湖","rwst_idno_261"
"rwst Baiguo 柏果","rwst_idno_262"
"rwst Baiguocun 白果村","rwst_idno_263"
"rwst Baihe East 白河东","rwst_idno_264"
"rwst Baihe 白合","rwst_idno_265"
"rwst Baihepu 白鹤铺","rwst_idno_266"
"rwst Baihexian 白河县","rwst_idno_267"
"rwst Baijiadian 白家店","rwst_idno_268"
"rwst Baijian 白涧","rwst_idno_269"
"rwst Baijipo 白鸡坡","rwst_idno_270"
"rwst Baikouquan 百口泉","rwst_idno_271"
"rwst Baikuibao 白奎堡","rwst_idno_272"
"rwst Bailang 白狼","rwst_idno_273"
"rwst Bailang 白浪","rwst_idno_274"
"rwst Bailang 百浪","rwst_idno_275"
"rwst Bailaqiao 白蜡桥","rwst_idno_276"
"rwst Baile 白乐","rwst_idno_277"
"rwst Bailicun 百里村","rwst_idno_278"
"rwst Bailin 柏林","rwst_idno_279"
"rwst Bailingmiao 百灵庙","rwst_idno_280"
"rwst Bailixia 百里峡","rwst_idno_281"
"rwst Bailongqiao 白龙桥","rwst_idno_282"
"rwst Baimalong 白马垅","rwst_idno_283"
"rwst Baimasi 白马寺","rwst_idno_284"
"rwst Baimaxi 白马溪","rwst_idno_285"
"rwst Baimujing 百亩井","rwst_idno_286"
"rwst Bainiuchang 白牛场","rwst_idno_287"
